ORG_EIN,ORG_NAME,STREET,CITY,STATE,ZIP,NTEE_CD,SORT_NAME
334455529,GIVING TREE FOOD PANTRY OF NORTHEAST MICHIGAN INC,PO BOX 272,JOHANNESBURG,MI,49751-0272,K30,NA
334466618,COMFORT MEALS INC,2802 WAYLAND DR,RALEIGH,NC,27608-1216,K36,NA
334468937,SERVIDORES DE CRISTO INC,304 S 16TH ST,ALLENTOWN,PA,18102-4520,K35,NA
334472802,KELONA HILLS CARES,4289 OLD RIVER TRL,POWHATAN,VA,23139-4116,K30,NA
334474207,BALTIMORE NORTH CLUSTER FOOD BANK INCORPORATED,19401 MIDDLETOWN RD,PARKTON,MD,21120-9662,K31,NA
334475341,KNIGHTS HAVE YOUR BACK,18505 TONTOGANY CREEK RD STE 2,BOWLING GREEN,OH,43402-9037,K31,NA
334508053,KEEPIN IT REAL DA FAMILY FOUNDATION,2810 N CHURCH ST NUM 487951,WILMINGTON,DE,19802-4447,K30,NA
334559016,FOOD FOR THE NEEDY FOUNDATION,20970 TURNBERRY BLVD,NORTHVILLE,MI,48167-2197,K30,NA
334584861,FAITH MARKET FOOD PANTRY,102 S COAL ST,COLCHESTER,IL,62326-1237,K31,NA
334614171,HOOPS FOR HUNGER,200 S 21ST ST STE 400A,LINCOLN,NE,68510-1044,K12,NA
334634807,GREAT HARVEST FOUNDATION INC,3036 IRMA CT,SUITLAND,MD,20746-1258,P20,NA
334653915,SINGLETON CULLORS FARM INC,1843 MOUNTSIDE DR,NORTH AUGUSTA,SC,29841-2219,K99,NA
334715387,LAKEWOOD FOOD PANTRY,38 PREACHER RD,LAKE COMO,PA,18437-9614,K31,NA
334718357,MARVINS GIVING GARDENS,3514 HAMILTON RD,LEBANON,OH,45036-3580,K30,NA
334762532,REVELRY FOOD AND WINE INC,202 E WISCONSIN AVE,LAKE FOREST,IL,60045-1706,K30,NA
334788370,AVENEU,267 MIAMI AVE,COLUMBUS,OH,43203-1513,K35,NA
334792716,EDGEWOOD PRESBYTERIAN CHURCH SOS,162 HARPER RD,LEWISBURG,WV,24901-9104,K30,NA
334813121,SONJAS TABLE,313 N FAYETTE ST,SHIPPENSBURG,PA,17257-1105,K30,NA
334817587,FEEDING FORWARD INITIATIVE,10600 PRIDE ROCK CT,RALEIGH,NC,27614-8616,K31,NA
334844896,KEWEENAW MARKET ASSOCIATION,1316 EMERY ST,HANCOCK,MI,49930-1026,K99,NA
334855187,GRACIOUS GIVING INC,1132 AVONDALE RD,OWENSBORO,KY,42303-1368,K31,NA
334867989,BEITUNIA CITY OUTREACH NFP,16655 OAK PARK AVE,TINLEY PARK,IL,60477-2313,K31,NA
334872476,HEART OF THE HILL,218 N SPRING ST,MOUNT PULASKI,IL,62548-1141,K31,NA
334876465,AGRITY,9630 MARCELLA DR NE,BEMIDJI,MN,56601-7030,K20,NA
334910220,SUR,2353 NASHUA CT,RESTON,VA,20191-2620,K30,NA
334919392,EXCHANGE INITIATIVE,2258 W CLEARFIELD ST,PHILADELPHIA,PA,19132-1450,K31,NA
334933902,SOUL & SMOKE FOUNDATION,1601 PAYNE STREET,EVANSTON,IL,60201-3080,K31,NA
334951244,LIVE RADIANT INC,7000 TOWER TERRACE RD,CEDAR RAPIDS,IA,52411-7946,K30,LIVE RADIANT
334958918,WAYNE COUNTY FAIR FOUNDATION,PO BOX 133,WAYNE,NE,68787-0133,K20,NA
334967115,MILES TO GO FOUNDATION,1713 STOKES FERRY RD,SALISBURY,NC,28146-7243,K36,NA
334971793,FRONTLINE BUD FOUNDATION,1312 CONSERVATORY CT,SAINT PAUL,MN,55117-4590,K20,NA
334990063,FEEDING THE NRV,PO BOX 353,RADFORD,VA,24143-0353,K30,NA
334991332,INTERNATIONAL AGRIBUSINESS INITIATIVE,8790 F ST STE 330,OMAHA,NE,68127-1539,K20,NA
335008803,HARRISON COUNTY CATTLEMEN,4880 ADAMS RD NW,DEPAUW,IN,47115-8436,K20,NA
335024383,ONNAMISSION INITIATIVE INC,799 BISHOPSGATE LN,VIRGINIA BCH,VA,23452-6190,K35,ONNAMISSION
335032338,JEFFERSON COUNTY BREAKFAST ON THE FARM INC,N3678 WILL RD,JEFFERSON,WI,53549-9502,K12,NA
335050534,CLEARWATER FARMERS MARKET,17038 COUNTY ROAD 44,SOUTH HAVEN,MN,55382-2635,K19,NA
340722334,THE CUYAHOGA COUNTY AGRICULTURAL SOCIETY,PO BOX 135,BEREA,OH,44017-0135,K20,NA
340730737,TRUMBULL COUNTY AGRICULTURAL SOCIETY,899 EVERETT HULL RD,CORTLAND,OH,44410-9534,K20,NA
340764399,MAHONING COUNTY AGRICULTURAL SOCIETY,PO BOX 250,CANFIELD,OH,44406-0250,K20,NA
340791444,ASHLAND COUNTY AGRICULTURAL SOCIETY INC,2042 CLAREMONT AVE,ASHLAND,OH,44805-3544,K20,NA
340798496,GEAUGA COUNTY AGRICULTURAL SOCIETY,PO BOX 402,BURTON,OH,44021-0402,K20,GEAUGA COUNTY AGRICULTURAL SOCIETY
340801375,STARK COUNTY AGRICULTURAL SOCIETY INC,PO BOX 80279,CANTON,OH,44708-0279,K20,NA
340824821,WAYNE COUNTY AGRICULTURAL SOCIETY INC,PO BOX 3,WOOSTER,OH,44691-0003,K20,NA
340872000,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,418 TOWNSHIP ROAD 201,BLOOMINGDALE,OH,43910-7946,K20,JEFFERSON COUNTY
340936050,THE PUTNAM COUNTY AGRICULTURAL SOCIETY,PO BOX 47,OTTAWA,OH,45875-0047,K20,NA
341006456,MEDINA COUNTY AGRICULTURAL SOCIETY,720 W SMITH RD,MEDINA,OH,44256-2423,K20,MEDINA COUNTY
341019610,MOBILE MEALS OF TOLEDO INC,2200 JEFFERSON AVE,TOLEDO,OH,43604-7101,K36Z,NA
341134075,NORTH CANTON MEALS ON WHEELS,PO BOX 354,GREENTOWN,OH,44630-0354,K30,NA
341138893,OHIO FARMERS UNION,PO BOX 363,OTTAWA,OH,45875-0363,K20,NA
341140502,WEST SHORE MEALS ON WHEELS,20777 LORAIN RD,FAIRVIEW PARK,OH,44126-2018,K36Z,NA
341158435,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,5615 CHEVROLET BLVD,PARMA,OH,44130-1406,K93,1005 UAW BUILDING CORP
341236167,SOUTHERN COMMUNITY CENTER OF SALINEVILLE,34A WASHINGTON ST,SALINEVILLE,OH,43945-1078,K31,NA
341292848,GREATER CLEVELAND FOOD BANK INC,13815 COIT RD,CLEVELAND,OH,44110-2201,K31Z,NA
341307763,OHIO VALLEY FARMERS MARKET,PO BOX 606,BELLAIRE,OH,43906-0606,K30,NA
341325825,RELIEF CANNING INC,PO BOX 157,KIDRON,OH,44636-0157,K31,NA
341362751,THE STRONGSVILLE EMERGENCY FOOD BANK INC,13259 PEARL RD,STRONGSVILLE,OH,44136-3401,P20,NA
341369388,AKRON-CANTON REGIONAL FOODBANK,350 OPPORTUNITY PKWY,AKRON,OH,44307-2234,K31Z,NA
341374145,SHAKER HEIGHTS BEACHWOOD MEALS ON WHEELS,21600 SHAKER BLVD,SHAKER HTS,OH,44122-2662,K36Z,NA
341374549,STARK COUNTY HUNGER TASK FORCE INC,408 9TH ST SW,CANTON,OH,44707-4714,K300,NA
341379668,OLD FASHIONED FARMERS ASSOCIATION,PO BOX 882,VAN WERT,OH,45891-0882,K99,NA
341380074,SECOND HARVEST FOODBANK OF THE MAHONING VALLEY,2805 SALT SPRINGS RD,YOUNGSTOWN,OH,44509-1037,K31Z,NA
341400227,JESUS FEEDS THE HUNGRY INC,5003 MILAN RD,SANDUSKY,OH,44870-5845,K30Z,NA
341423492,GENOA GRANGE 1998 INCORPORATED,23685 W WALBRIDGE RD,CURTICE,OH,43412-9666,K99,NA
341441016,TOLEDO NORTHWESTERN OHIO FOODBANK INC,24 E WOODRUFF AVE,TOLEDO,OH,43604-5263,K31Z,NA
341446685,SECOND HARVEST FOODBANK OF NORTH CENTRAL OHIO,5510 BAUMHART RD,LORAIN,OH,44053-2000,K310,NA
341465741,DANBURY FOOD SHARE PROGRAM INC,541 CHURCH RD,MARBLEHEAD,OH,43440-9759,K31,NA
341469593,FAIRLESS FOOD CUPBOARD,C/O P WINKHART 7220 ERIE AVENUE SW,NAVARRE,OH,44662-0000,K31,NA
341484532,MALVERN CHRISTIAN CARE CENTER INC,715 E PORTER ST,MALVERN,OH,44644-9686,K31,NA
341488369,BARBERTON COALITION OF CONCERNED CHRISTIANS,636 W PARK AVE,BARBERTON,OH,44203-2414,K30,NA
341530950,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,44393 FAIRGROUND RD,CALDWELL,OH,43724-8600,K20,NOBLE COUNTY
341561649,MCCUTCHEN GRANGE 2360,2708 STATE HIGHWAY 53 N,MC CUTCHENVLE,OH,44844-9711,K20,2360 MCCUTCHEON
341561764,THE SUMMIT COUNTY AGRICULTURAL SOCIETY OF OHIO,PO BOX 89,TALLMADGE,OH,44278-0089,K20,NA
341587528,WEST OHIO FOOD BANK,PO BOX 1566,LIMA,OH,45802-1566,K31Z,NA
341617874,LEE MILES HUNGER CENTER,15309 HARVARD AVE,CLEVELAND,OH,44128-1942,K31,NA
341630295,BRUNSWICK FOOD PANTRY INC,835 PEARL RD,BRUNSWICK,OH,44212-2559,P20Z,NA
341638273,OHIO ECOLOGICAL FOOD AND FARM ASSOCIATION,150 E WILSON BRIDGE RD STE 230,WORTHINGTON,OH,43085-2386,K20,NA
341661501,SHARING KITCHEN OF FOSTORIA,321 N MAIN ST,FOSTORIA,OH,44830-2225,K31Z,NA
341664891,BRECKSVILLE BROADVIEW HEIGHTS MEALS ON WHEELS INC,2 COMMUNITY DR,BRECKSVILLE,OH,44141-2332,K36Z,NA
341666861,COLUMBIANA COUNTY BUCKEYE DAIRY BOOSTERS,17931 SMITH RD,SALINEVILLE,OH,43945-9643,K20,NA
341677838,OHIO ASSOCIATION OF FOODBANKS,100 E BROAD ST STE 501,COLUMBUS,OH,43215-3638,K31,NA
341693949,SHAKER HEIGHTS COMMUNITY CHURCH HUNGER CENTER,20120 LOMOND BLVD,SHAKER HTS,OH,44122-4906,K31,NA
341741470,SOME OF US PEOPLE,8443 US HIGHWAY 68,KENTON,OH,43326-9216,K30,KRISTIE L FAY
341757991,SOUTH HILLS LEND-A-HAND INC,PO BOX 470972,BROADVIEW HTS,OH,44147-0972,K31,NA
341762126,POLAND INTERFAITH PANTRY INC,PO BOX 5424,POLAND,OH,44514-0424,K31,NA
341768319,PERRY CENTER OF LAKE COUNTY OHIO,PO BOX 446,PERRY,OH,44081-0446,K31Z,NA
341791622,ATTICA COMMUNITY FOOD PANTRY,212 N WOODWIND DR,ATTICA,OH,44807-9335,P60,NA
341810545,HUNGER NETWORK OF GREATER CLEVELAND,4415 EUCLID AVE STE 110,CLEVELAND,OH,44103-3757,K30,HUNGER NETWORK OF GREATER CLEVELAND
341812811,DIFFERENCE MAKERS INC,6117 CHESTNUT RIDGE RD,HUBBARD,OH,44425-2814,K30,NA
341864062,JERUSALEM TOWNSHIP FOOD PANTRY,11539 RACHEL RD,CURTICE,OH,43412-9715,P20,NA
341884225,NORTH EAST SERVICES FOOD AND CLOTHING EXCHANGE,PO BOX 288,KINSMAN,OH,44428-0288,K31,NESFACE
341898854,COMMUNITY ACTION LIFE LINE INC,529 N WALNUT ST,CELINA,OH,45822-1449,K31,NA
341902209,JOURNEYS END MINISTRIES INC,PO BOX 507,NEWCOMERSTOWN,OH,43832-0507,K31,NA
341930097,UNITED CHRISTIAN SERVICES OF INDIAN LAKE,PO BOX 56,RUSSELLS PT,OH,43348-0056,K31,NA
341930347,OHIO ASSOCIATION OF AGRICULTURAL EDUCATORS,717 E 17TH AVE,COLUMBUS,OH,43211-2489,K20,NA
341940760,HELPING HEARTS INC,HSIU WONG 25735 LORAIN RD,NORTH OLMSTED,OH,44070-0000,K36,NA
341941616,PAULDING COUNTY AREA FDTN-MARSHALL MEMORIAL SUPPORTING FDTN,PO BOX 249,PAULDING,OH,45879-0249,K12,NA
341957759,MANNA FOOD FROM HEAVEN MINISTRIES,3309 BERKELEY RD,CLEVELAND HTS,OH,44118-2056,K30,NA
341960724,FAITH BASED INITIATIVE CORPORATION,800 MARKET AVE N STE 105,CANTON,OH,44702-2307,K35,NA
341969461,CONNECTING KIDS TO MEALS INC,PO BOX 9363,TOLEDO,OH,43697-9363,K30,NA
341978169,STANLY COUNTY CATTLEMANS ASSOCIATION,26032E NEWT RD,ALBEMARLE,NC,28001-7461,K20,LEE ROBERT
341999931,GRAYS CREEK CHRISTIAN CENTER,3024 SCHOOL RD,HOPE MILLS,NC,28348-8092,K30,NA
342017077,LADIES OUTREACH COMMITTEE,PO BOX 1151,BEAUFORT,NC,28516-1151,K30,NA
342025018,CHARLOTTE COUNTY MEALS ON WHEELS,PO BOX 486,KEYSVILLE,VA,23947-0486,K36,NA
344427752,AUGLAIZE COUNTY AGRICULTURAL SOCIETY INC,PO BOX 431,WAPAKONETA,OH,45895-0431,K20,NA
344429710,VAN WERT COUNTY AGRICULTURAL SOCIETY,1055 S WASHINGTON ST,VAN WERT,OH,45891-1475,K20,NA
344440017,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,901 RAWSON AVE,FREMONT,OH,43420-2102,K20,SANDUSKY COUNTY
344444253,OHIO COUNTY & INDEPENDENT FAIRS HARDIN COUNTY,14134 LETSON AVENUE,KENTON,OH,43326-0000,K20,NA
344444731,HENRY COUNTY AGRICULTURAL SOCIETY INC,PO BOX 387,NAPOLEON,OH,43545-0387,K20,NA
344444947,WILLIAMS COUNTY AGRICULTURAL SOCIETY,619 E MAIN ST,MONTPELIER,OH,43543-1241,K20,NA
344444991,HURON COUNTY AGRICULTURAL SOCIETY,940 FAIR RD,NORWALK,OH,44857-2041,K20,NA
344445198,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,PO BOX 184,HICKSVILLE,OH,43526-0184,K20,DEFIANCE COUNTY
344445804,HANCOCK COUNTY AGRICULTURAL SOCIETY,1017 E SANDUSKY ST,FINDLAY,OH,45840-5401,K20,NA
346556165,WYANDOT COUNTY AGRICULTURAL SOCIETY INC,10171 OH 53,UPPER SANDUSKY,OH,43351-0000,K20,NA
346570394,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,131 MAIN ST,BELLVILLE,OH,44813-1020,K20,BELLVILLE INDEPENDENT
346570395,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,165 N WATER ST,LOUDONVILLE,OH,44842-1250,K20,LOUDONVILLE
346570403,ALLEN COUNTY AGRICULTURAL SOCIETY A NON-PROFIT CORPORATION,2750 HARDING HWY,LIMA,OH,45804-3434,K20,NA
346570415,ERIE COUNTY AGRICULTURAL SOCIETY,PO BOX 2436,SANDUSKY,OH,44871-2436,K20,NA
346570420,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,PO BOX 564,HILLSBORO,OH,45133-0564,K20,HIGHLAND COUNTY
346570421,THE HOLMES COUNTY AGRICULTURAL SOCIETY INC,PO BOX 376,MILLERSBURG,OH,44654-0376,K20,NA
346570428,OTTAWA COUNTY AGRICULTURAL SOCIETY,7870 W STATE ROUTE 163,OAK HARBOR,OH,43449-8706,K20,NA
346570429,PAULDING COUNTY AGRICULTURAL SOCIETY,PO BOX 222,PAULDING,OH,45879-0222,K20,NA
346570431,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES,750 HOME RD N,MANSFIELD,OH,44906-1400,K20,RICHLAND COUNTY AGRICULTURAL SOC
346597455,OHIO COUNTY & INDEPENDENT AGRICULTURAL SOCIETIES BELMONT,PO BOX 704,ST CLAIRSVLE,OH,43950-0704,K20,NA
346608235,ATTICA FAIR ASSOCIATION,PO BOX 433,ATTICA,OH,44807-0433,K20,NA
346675117,FOUR COUNTY YOUNG AT HEART,PO BOX 393,BELLEVUE,OH,44811-0393,K36Z,NA
351182075,MEALS ON WHEELS INC,708 E MICHIGAN ST,INDIANAPOLIS,IN,46202-3624,K36Z,NA
351264352,BIG CREEK DRAINAGE ASSN INC,605 S SAINT JAMES BLVD,EVANSVILLE,IN,47714-2432,K20,NA
351341343,LIFETIME HOUSING GROUP INCORPORATED,13091 BENEDICT DR,DILLSBORO,IN,47018-8480,K36Z,LIFE TIME HOUSING
351344488,MEALS ON WHEELS OF HAMILTON COUNTY INC,395 WESTFIELD RD,NOBLESVILLE,IN,46060-1425,K36Z,NA
351359322,SHELBY COUNTY MEALS ON WHEELS INC,1728 E STATE ROAD 44,SHELBYVILLE,IN,46176-1846,K36Z,NA
351484281,SECOND HELPINGS INC,1121 SOUTHEASTERN AVE,INDIANAPOLIS,IN,46202-3946,K30,NA
351528285,FOOD BANK OF NORTHWEST INDIANA INC,6490 BROADWAY,MERRILLVILLE,IN,46410-3008,K31Z,NA
351588091,CHURCH WOMEN UNITED,2642 SOLDIERS HOME RD,W LAFAYETTE,IN,47906-1634,K31,TIPPECANOE
351593159,DECATUR OPERATION HELP INC,PO BOX 23,DECATUR,IN,46733-0023,K31,NA
351606254,INDIANA SCHOOL NUTRITION ASSOCIATION INC,PO BOX 1421,WINCHESTER,VA,22604-7921,K99,NA
351611125,CIRCLE YOU HELP CENTER,PO BOX 491,RICHMOND,IN,47375-0491,K31Z,NA
351621812,HELPING HANDS OF FAIRMOUNT INC,402 W FIRST ST,FAIRMOUNT,IN,46928-1650,K31,NA
351692117,THE WELL INC,PO BOX 114,JONESBORO,IN,46938-0114,K31,NA
351695779,WELLS COUNTY FOOD & CLOTHING BUREAU INC,PO BOX 254,BLUFFTON,IN,46714-0254,P60Z,NA
351757175,HOBART FOOD PANTRY INCORPORATED,PO BOX 394,HOBART,IN,46342-0394,K31Z,NA
351805444,INTERFAITH MISSION CENTER INC,PO BOX 1345,RICHMOND,IN,47375-1345,K30Z,COMMUNITY FOOD PANTRY
351831953,PAOLI COMMUNITY FOOD PANTRY INC,728 W MAIN ST,PAOLI,IN,47454-1039,K31Z,NA
351873345,HELPING HANDS OF WABASH COUNTY INC,2913 E 250 S,WABASH,IN,46992-8942,K36Z,NA
351898055,FOOD BANK OF NORTHERN INDIANA,702 CHAPIN ST,SOUTH BEND,IN,46601-2804,K310,NA
351906636,WASHINGTON COUNTY FOOD BANK INC,PO BOX 128,SALEM,IN,47167-0128,K30Z,NA
351909818,INTERCHURCH FOOD PANTRY OF JOHNSON COUNTY INC,PO BOX 147,WHITELAND,IN,46184-0147,P20Z,NA
351918388,SOUP KITCHEN OF MUNCIE INC,PO BOX 68,MUNCIE,IN,47308-0068,K30Z,NA
351923567,HANCOCK COUNTY FOOD PANTRY INC,2040 W MAIN ST,GREENFIELD,IN,46140-2713,K31Z,NA
351925783,PETES PANTRY INC,309 W WASHINGTON ST,ALEXANDRIA,IN,46001-1826,K31,NA
351952199,WARRICK ECUMENICAL SOUP KITCHEN INC,422 E SYCAMORE ST,BOONVILLE,IN,47601-1619,K31,NA
351998319,MONON FOOD BANK INC,PO BOX 553,MONON,IN,47959-0553,K31,NA
352025644,MOZELL SANDERS FOUNDATION INC,709 N BELMONT AVE,INDIANAPOLIS,IN,46222-3807,K30Z,NA
352038269,COMMUNITY PROVISION OF JACKSON COUNTY INC,107 W BRUCE ST,SEYMOUR,IN,47274-2315,K31,NA
352058077,SACK HUNGER INC,205 E NEW YORK ST,INDIANAPOLIS,IN,46204-2114,K30,NA
352064875,FISHES & LOAVES INC,56479 EASTVUE,MISHAWAKA,IN,46545-0000,K31,NA
352068625,SOUTH WHITLEY AREA EMERGENCY FOOD BANK,207 E STATE STREET,SOUTH WHITLEY,IN,46787-0000,K310,NA
352079824,COMMUNITY FOOD BANK INC,1404 S MERIDIAN RD,JASPER,IN,47546-3830,K30,NA
352082414,MOTHER HUBBARDS CUPBOARD INC,1100 W ALLEN ST,BLOOMINGTON,IN,47403-4761,K31,NA
352082836,CHRISTIAN CARE & SHARE SERVICES,PO BOX 41,CLAY CITY,IN,47841-0041,K31,NU-TU-YU
352085515,MID-NORTH FOOD PANTRY INC,3333 N MERIDIAN STREET,INDIANAPOLIS,IN,46208-4669,K31,NA
352094471,COMMUNITY HARVEST FOOD BANK OF NORTHEAST IN INC ENDOWMENT FUND TR,PO BOX 10600,FORT WAYNE,IN,46853-0600,K31,NA
352107822,SHAGBARK INC,3875 S COUNTY ROAD 50 W,PAOLI,IN,47454-9533,K20,NA
352108995,WABASH VALLEY MASTER GARDENERS ASSOC,275 OHIO ST,TERRE HAUTE,IN,47807-3436,K20,NA
352116077,NEWBURGH AREA FOOD PANTRY INC,625 FRAME RD,NEWBURGH,IN,47630-1604,K30,NA
352117913,MEALS ON WHEELS OF HANCOCK COUNTY INC,312 E MAIN ST,GREENFIELD,IN,46140-2348,K36,NA
352122014,PARKE COUNTY COMMUNITY FOOD PANTRY INCORPORATED,PO BOX 222,ROCKVILLE,IN,47872-0222,K31,NA
352122827,VERMILLION COUNTY CHRISTIAN FOOD CENTER,355 SOUTH MAIN STREET,NEWPORT,IN,47966-0000,K31,NA
352153771,LORDS PANTRY AT ANNAS HOUSE INC,303 N ELDER AVE,INDIANAPOLIS,IN,46222-4329,P60,NA
352168266,LAMBS BASKET,PO BOX 3064,HENRICO,VA,23228-9701,K31,NA
352174004,GENERATIONS NETWORK INC,PO BOX 314,VINCENNES,IN,47591-0314,K36,NA
352178295,SHAWANO AREA FOOD PANTRY AND RESOURCE CENTER INC,218 E RICHMOND ST,SHAWANO,WI,54166-2924,K31,NA
352208132,MUHLENBERG COUNTY FARMERS MARKET,604 CLEATON ROAD,POWDERLY,KY,42367-0000,K20,NA
352239790,LESLIE COUNTY FOOD PANTRY,PO BOX 212,HYDEN,KY,41749-0000,K31,NA
352298015,ILLINOIS NUTRIENT RESEARCH & EDUCATION FOUNDATION,14171 CAROLE DRIVE,BLOOMINGTON,IL,61705-9900,K20,NA
352351809,HANOVER FOOD PANTRY,500 FILLMORE ST,HANOVER,IL,61041-8706,K31,NA
352355113,PRAIRIE ROSE PANTRY,PO BOX 173,TAYLOR,NE,68879-0173,K31,NA
352366204,SPRINGFIELD SOUP KITCHEN,830 W MAIN ST,SPRINGFIELD,OH,45504-2752,K35,NA
352368502,WAKE FOREST FARMERS MARKET INC,PO BOX 1522,WAKE FOREST,NC,27588-1522,K20,NA
352372569,COMMUNITY CUPBOARD FOOD PANTRY,PO BOX 167,HAWKINS,WI,54530-0167,K31,NA
352391010,CLAYTON AREA MINISTRIES INC,PO BOX 851,CLAYTON,NC,27528-0851,K31,NA
352393280,PEYTONS PROMISE INC,PO BOX 217,SCHOFIELD,WI,54476-0000,K31,NA
352427482,ORLAND TOWNSHIP FOOD PANTRY FNDN,14807 S RAVINIA AVE,ORLAND PARK,IL,60462-3168,K11,NA
352435324,FIRE BRANCH ORGANIZATION NFP,1138 WINDBROOK DR,BUFFALO GROVE,IL,60089-2314,K31,NA
352441838,CORTLAND AREA CARES INC,1000 FOWLER ST,CORTLAND,OH,44410-9737,K35,NA
352442671,NICOLLET COUNTY AGRICULTURAL SOCIETY INC,314 S 3RD ST,ST PETER,MN,56082-2023,K20,NA
352470971,FRIENDS OF THE ALPENA FARMERS MARKET,PO BOX 123,ALPENA,MI,49707-0123,K30,NA
352487234,KENTUCKY HARVEST SOUTHEAST INC,305 W 5TH ST,CORBIN,KY,40701-1609,K30,NA
352516182,INTERFAITH COMMUNITY FOOD PANTRY,625 SIMMONS LN,JOHNSTOWN,PA,15909-4326,K31,NA
352518184,TUWA TEMPLE 228 INC,4 KIMBERLYS CT,WINDSOR MILL,MD,21244-4007,K35,NA
352527788,BUDDY BAGS OF DIXON NFP,1218 N JEFFERSON AVE,DIXON,IL,61021-1135,K30,NA
352540225,RUTHS HARVEST GETTYSBURG,PO BOX 4771,GETTYSBURG,PA,17325-4771,K30,NA
352570070,SHEPHERDS OF THE POOR,165 NORTH WILKES-BARRE BOULEVARD,WILKES BARRE,PA,18702-5326,K30,NA
352587416,SHARE THE TABLE INC,12395 NC HIGHWAY 50 E,HAMPSTEAD,NC,28443-2947,K31,NA
352587426,ITS A BLESSING TO BE A BLESSING,PO BOX 2633,HAGERSTOWN,MD,21741-2633,K31,NA
352587935,FOUR LEAF CLOVER,312 W WOODALL ST,BENSON,NC,27504-1834,K30,NA
352617651,WAYNESVILLE FOOD PANTRY,PO BOX 653,WAYNESVILLE,OH,45068-0653,K31,NA
352675107,EPHRAIM MINISTRIES INTERNATIONAL INC,12050 BRYDEN ST APT 11,DETROIT,MI,48204-1189,K99,GENNESARET GARDENS
352739419,GREENER PASTURES,1525 MAIN ST NE,MINNEAPOLIS,MN,55413-1150,K99,NA
352752694,MERCER COUNTY AGRICULTURAL DEVELOPMENT COUNCIL,463 N PERRY HWY,MERCER,PA,16137-5045,K20,NA
352826895,STANCIL FOUNDATIONS INC,6321 RILEY HILL RD,WENDELL,NC,27591-9282,K31,NA
352827462,TRUE HOPE MINISTRIES,1732 N NATCHEZ AVE,CHICAGO,IL,60707-4024,K31,NA
352828509,MARTHAS KITCHEN INC,500 N RANDALL RD UNIT 172,BATAVIA,IL,60510-3707,K31,NA
352837047,PLYMOUTH-SHILOH FOOD PANTRY,18 BRADLEY AVE,SHELBY,OH,44875-1802,K31,NA
362270048,LEGGE LOWDEN FARM FOUNDATION TRUST,31330 N MILWAUKEE AVE,LIBERTYVILLE,IL,60048-0000,K20,NA
362743881,NORTHEASTERN ILLINOIS AREA AGENCY ON AGING,1910 S HIGHLAND AVE STE 100,LOMBARD,IL,60148-6157,K36Z,NA
362914986,CHINESE CONSOLIDATED BENEVOLENT ASSOCIATION,250 W 22ND PL,CHICAGO,IL,60616-1902,K30Z,NA
362971864,GREATER CHICAGO FOOD DEPOSITORY,4100 W ANN LURIE PL,CHICAGO,IL,60632-2692,K31Z,NA
363147342,RIVER BEND FOOD RESERVOIR,4010 KIMMEL DR,DAVENPORT,IA,52802-2404,K310,NA
363192282,CHURCHES OF MERCER COUNTY FOOD PANTRY,PO BOX 63,ALEDO,IL,61231-0063,K31,NA
363203648,NORTHERN ILLINOIS FOOD BANK,273 DEARBORN CT,GENEVA,IL,60134-3587,K31Z,NA
363203937,ILLINOIS VALLEY FOOD PANTRY,4133 PROGRESS BLVD,PERU,IL,61354-1125,K31Z,NA
363206531,AURORA AREA INTERFAITH FOOD PANTRY,1110 JERICHO RD,AURORA,IL,60506-5822,K31Z,NA
363218983,ILLINOIS MYCOLOGICAL ASSOCIATION,1908 DEVON AVE,PARK RIDGE,IL,60068-4304,K20,NA
363238380,PROJECT PRIDE,PO BOX 52,ANNAWAN,IL,61234-0052,K31,NA
363242915,CRYSTAL LAKE FOOD PANTRY INC,42 EAST STREET,CRYSTAL LAKE,IL,60014-4400,K31Z,NA
363247132,OPERATION BLESSING OF SOUTHWEST CHICAGOLAND,4901 W 128TH PL,ALSIP,IL,60803-3011,K31Z,NA
363249079,VILLAGE PANTRY COALITION,3450 W 97TH ST,EVERGREEN PK,IL,60805-3015,K31,NA
363252908,STREATORLAND COMMUNITY FOOD PANTRY INC,PO BOX 952,STREATOR,IL,61364-0952,K31Z,NA
363253374,SHANNON LANARK FOOD PANTRY,24014 PEACE AND QUIET RD,SHANNON,IL,61078-9250,K31,NA
363266881,POLO LIFELINE FOOD AND SELF HELP PROJECT,113 N GREEN AVE STE A,POLO,IL,61064-1525,K31,NA
363274967,LIFELINE FOOD & SELF HELP PROJECT INCORPORATED,201 N 3RD ST STE 6,OREGON,IL,61061-1448,P60,NA
363293534,FEEDING SOUTH DAKOTA,4701 N WESTPORT AVE,SIOUX FALLS,SD,57107-0123,K31,NA
